conference_journal,conference_topic,extracted_concept
system-level design,Hardware and system security (hss),hardware security
system-level design,Electronic design automation tools and methodologies (eda),electronic design automation
system-level design,Design test and verification (dtv),design verification
system-level design,Cognitive computing hardware (cch),cognitive computing
system-level design,Cognitive computing hardware (cch),computer hardware
system-level design,Design methods and tools to improve yield and manufacturability.,yield engineering
system-level design,Design methods and tools to improve yield and manufacturability.,design methods
system-level design,Design methods and tools to improve yield and manufacturability.,manufacturing engineering
system-level design,"Eda and physical design tools, processes, methodologies, and flows",electronic design automation
system-level design,"Eda and physical design tools, processes, methodologies, and flows",physical design
system-level design,Eda for non-traditional problems such as smart power grid and solar energy,electronic design automation
system-level design,"Eda tools and methodologies for 3d integrations, and advanced packaging",electronic design automation
system-level design,"Eda tools and methodologies for 3d integrations, and advanced packaging",3d integration
system-level design,"Eda tools and methodologies for 3d integrations, and advanced packaging",advanced packaging
system-level design,Cad for bio-inspired and neuromorphic systems,bio-inspired systems
system-level design,"Eda tools, methodologies and applications for photonics devices, circuit and system design",circuit design
system-level design,"Eda tools, methodologies and applications for photonics devices, circuit and system design",system design
system-level design,Eda for mems,microelectromechanical systems
system-level design,"Techniques for leakage control, power optimization, and power management",power management
system-level design,"Techniques for leakage control, power optimization, and power management",power optimization
system-level design,"Design techniques, methodologies and flows for vertically integrated circuits/chips",integrated circuit design
system-level design,Die-package co-design,package design
